institution_id,institution_name,country,region,website,Agricultural Sciences,Arts and Humanities,Biology and Biochemistry,Biotechnology and Applied Microbiology,Cardiac and Cardiovascular Systems,Cell Biology,Chemical Engineering,Chemistry,Civil Engineering,Clinical Medicine,Computer Science,Economics and Business,Electrical and Electronic Engineering,Endocrinology and Metabolism,Energy and Fuels,Engineering,Environment/Ecology,Gastroenterology and Hepatology,Geosciences,Immunology,Infectious Diseases,Materials Science,Mathematics,Mechanical Engineering,Microbiology,Molecular Biology and Genetics,Nanoscience and Nanotechnology,Neuroscience and Behavior,Oncology,Pharmacology and Toxicology,Physics,Plant and Animal Science,Psychiatry/Psychology,"Public, Environmental and Occupational Health","Radiology, Nuclear Medicine and Medical Imaging",Social Sciences and Public Health,Space Science,Surgery
166027,Harvard University,United States,North America,http://www.harvard.edu/,7,3,1,,,,,4,,1,6,1,,,,12,3,,8,1,,6,2,,1,1,,1,,1,3,5,1,,,1,1,
166683,Massachusetts Institute of Technology,United States,North America,http://web.mit.edu/,,9,2,,,,,1,,18,1,2,,,,1,35,,1,9,,1,1,,47,2,,7,,13,1,,12,,,17,6,
243744,Stanford University,United States,North America,http://www.stanford.edu,,7,3,,,,,5,,3,2,3,,,,2,6,,7,2,,3,6,,10,5,,2,,5,5,30,2,,,4,9,
110635,University of California--Berkeley,United States,North America,http://berkeley.edu/,,4,6,,,,,2,,40,3,5,,,,3,1,,4,21,,4,5,,18,11,,15,,,6,4,7,,,3,3,
503637,University of Oxford,United Kingdom,Europe,http://www.ox.ac.uk/,28,2,5,,,,,7,,6,7,6,,,,15,2,,3,5,,7,7,,3,3,,5,,4,7,7,6,,,2,7,
190150,Columbia University,United States,North America,http://www.columbia.edu,,11,14,,,,,35,,14,32,12,,,,39,84,,11,32,,51,15,,42,23,,8,,41,18,235,10,,,7,39,
110404,California Institute of Technology,United States,North America,http://www.caltech.edu,,,10,,,,,6,,,9,,,,,4,125,,5,,,5,11,,,13,,20,,,4,,,,,,2,
236948,University of Washington,United States,North America,http://www.washington.edu,,100,30,,,,,104,,11,21,61,,,,64,18,,10,11,,140,24,,22,8,,27,,24,41,61,24,,,21,18,
502149,University of Cambridge,United Kingdom,Europe,http://www.cam.ac.uk/,,1,4,,,,,3,,8,5,8,,,,5,4,,2,7,,2,4,,2,4,,4,,3,2,3,5,,,5,5,
162928,Johns Hopkins University,United States,North America,http://www.jhu.edu,42,40,8,,,,,52,,2,74,69,,,,37,257,,120,6,,93,56,,7,6,,6,,7,107,,35,,,15,23,
186131,Princeton University,United States,North America,http://www.princeton.edu,,6,22,,,,,14,,91,11,11,,,,21,7,,12,,,37,3,,49,48,,26,,,8,134,11,,,12,4,
130794,Yale University,United States,North America,http://www.yale.edu/,,5,7,,,,,23,,10,38,9,,,,47,14,,18,3,,45,14,,5,9,,11,,20,12,37,3,,,10,21,
110662,University of California--Los Angeles,United States,North America,http://www.ucla.edu/,,10,11,,,,,13,,5,10,13,,,,17,29,,9,22,,21,8,,15,18,,9,,23,21,54,4,,,8,12,
215062,University of Pennsylvania,United States,North America,http://www.upenn.edu,,17,17,,,,,40,,7,59,10,,,,68,,,,17,,43,27,,12,12,,14,,32,28,46,13,,,18,113,
110699,University of California--San Francisco,United States,North America,http://www.ucsf.edu/,,,9,,,,,129,,4,276,,,,,,,,,4,,,,,8,10,,3,,2,,,26,,,86,,
144050,University of Chicago,United States,North America,http://www.uchicago.edu,,8,24,,,,,31,,27,138,4,,,,119,51,,28,23,,65,9,,39,14,,28,,71,11,278,22,,,11,11,
170976,University of Michigan--Ann Arbor,United States,North America,http://www.umich.edu,,14,21,,,,,25,,9,29,15,,,,9,12,,26,43,,28,13,,37,19,,25,,12,56,68,8,,,6,34,
499968,University of Toronto,Canada,North America,http://www.utoronto.ca,105,15,31,,,,,38,,15,16,23,,,,26,61,,23,30,,34,21,,88,21,,24,,25,49,51,15,,,19,37,
501693,University College London,United Kingdom,Europe,http://www.ucl.ac.uk/,,13,20,,,,,67,,21,28,34,,,,61,33,,32,28,,64,88,,45,28,,10,,14,70,167,9,,,16,29,
505571,Imperial College London,United Kingdom,Europe,http://www3.imperial.ac.uk/,,,26,,,,,9,,20,19,29,,,,6,20,,25,8,,8,18,,19,17,,47,,19,14,58,68,,,77,30,
