institution_id,institution_name,country,region,website,Agricultural Sciences,Arts and Humanities,Biology and Biochemistry,Biotechnology and Applied Microbiology,Cardiac and Cardiovascular Systems,Cell Biology,Chemical Engineering,Chemistry,Civil Engineering,Clinical Medicine,Computer Science,Economics and Business,Electrical and Electronic Engineering,Endocrinology and Metabolism,Energy and Fuels,Engineering,Environment/Ecology,Gastroenterology and Hepatology,Geosciences,Immunology,Infectious Diseases,Materials Science,Mathematics,Mechanical Engineering,Microbiology,Molecular Biology and Genetics,Nanoscience and Nanotechnology,Neuroscience and Behavior,Oncology,Pharmacology and Toxicology,Physics,Plant and Animal Science,Psychiatry/Psychology,"Public, Environmental and Occupational Health","Radiology, Nuclear Medicine and Medical Imaging",Social Sciences and Public Health,Space Science,Surgery
166027,Harvard University,United States,North America,http://www.harvard.edu/,16,1,1,,,,,4,,1,9,2,,,,10,2,,5,1,,9,2,,1,1,,1,,2,2,11,1,,,1,2,
166683,Massachusetts Institute of Technology,United States,North America,http://web.mit.edu/,,12,2,,,,,1,,22,1,1,,,,1,34,,1,13,,1,3,,18,2,,6,,16,1,,28,,,30,6,
243744,Stanford University,United States,North America,http://www.stanford.edu,,6,3,,,,,5,,5,2,3,,,,3,9,,7,4,,3,5,,6,3,,3,,16,4,25,3,,,5,17,
110635,University of California--Berkeley,United States,North America,http://berkeley.edu/,,3,4,,,,,3,,39,4,4,,,,2,1,,2,11,,2,1,,6,10,,13,,,5,3,8,,,2,4,
503637,University of Oxford,United Kingdom,Europe,http://www.ox.ac.uk/,77,10,9,,,,,22,,13,55,18,,,,85,16,,22,5,,41,23,,1,14,,28,,87,34,50,16,,,15,26,
190150,Columbia University,United States,North America,http://www.columbia.edu,,8,9,,,,,15,,11,15,6,,,,20,40,,8,20,,22,9,,11,9,,5,,16,13,54,5,,,6,24,
110404,California Institute of Technology,United States,North America,http://www.caltech.edu,,,8,,,,,2,,,12,,,,,5,76,,4,,,5,11,,,16,,20,,,3,,,,,,1,
236948,University of Washington,United States,North America,http://www.washington.edu,,35,22,,,,,31,,8,6,29,,,,20,11,,3,7,,30,18,,6,4,,14,,7,18,33,20,,,11,14,
502149,University of Cambridge,United Kingdom,Europe,http://www.cam.ac.uk/,,11,9,,,,,19,,22,35,24,,,,53,16,,7,62,,34,23,,7,41,,5,,60,28,34,10,,,22,26,
162928,Johns Hopkins University,United States,North America,http://www.jhu.edu,28,21,5,,,,,31,,2,31,59,,,,23,40,,66,5,,30,32,,2,4,,2,,11,28,,20,,,14,12,
186131,Princeton University,United States,North America,http://www.princeton.edu,,2,17,,,,,6,,64,7,9,,,,14,6,,12,,,17,3,,31,26,,21,,,6,33,11,,,7,3,
130794,Yale University,United States,North America,http://www.yale.edu/,,4,5,,,,,13,,12,21,11,,,,36,10,,17,2,,35,10,,4,10,,11,,21,12,25,2,,,10,14,
110662,University of California--Los Angeles,United States,North America,http://www.ucla.edu/,,7,9,,,,,11,,9,13,13,,,,11,22,,8,19,,14,8,,18,21,,7,,30,14,33,4,,,4,8,
215062,University of Pennsylvania,United States,North America,http://www.upenn.edu,,11,14,,,,,19,,4,19,7,,,,30,,,,9,,16,16,,11,12,,9,,24,19,25,7,,,16,33,
110699,University of California--San Francisco,United States,North America,http://www.ucsf.edu/,,,5,,,,,61,,3,92,,,,,,,,,3,,,,,4,6,,3,,1,,,26,,,60,,
144050,University of Chicago,United States,North America,http://www.uchicago.edu,,5,11,,,,,20,,20,26,5,,,,55,17,,17,13,,29,6,,18,26,,28,,35,7,40,22,,,8,7,
170976,University of Michigan--Ann Arbor,United States,North America,http://www.umich.edu,,10,13,,,,,9,,6,14,10,,,,6,7,,15,28,,12,7,,31,12,,23,,4,16,40,6,,,3,20,
499968,University of Toronto,Canada,North America,http://www.utoronto.ca,37,14,21,,,,,21,,17,15,22,,,,16,34,,21,17,,19,16,,22,12,,28,,13,21,40,11,,,17,21,
501693,University College London,United Kingdom,Europe,http://www.ucl.ac.uk/,,30,49,,,,,53,,34,35,52,,,,93,33,,47,19,,147,56,,22,14,,14,,87,87,127,25,,,22,58,
505571,Imperial College London,United Kingdom,Europe,http://www3.imperial.ac.uk/,,,40,,,,,28,,50,35,37,,,,32,33,,39,19,,30,56,,7,41,,76,,60,40,127,76,,,117,26,
110680,University of California--San Diego,United States,North America,http://www.ucsd.edu/,,33,16,,,,,27,,21,17,32,,,,18,54,,22,10,,30,33,,11,16,,9,,6,22,29,9,,,35,45,
190415,Cornell University,United States,North America,http://www.cornell.edu,2,15,11,,,,,15,,45,5,15,,,,11,3,,30,22,,10,15,,22,16,,35,,35,9,2,32,,,22,17,
